,Unnamed: 0,county,state_name,state_abbrev,zipcode
594,24,Maricopa,Arizona,AZ,85026
595,24,Maricopa,Arizona,AZ,85027
596,24,Maricopa,Arizona,AZ,85028
597,24,Maricopa,Arizona,AZ,85029
598,24,Maricopa,Arizona,AZ,85030
599,24,Maricopa,Arizona,AZ,85031
600,24,Maricopa,Arizona,AZ,85032
601,24,Maricopa,Arizona,AZ,85033
602,24,Maricopa,Arizona,AZ,85034
603,24,Maricopa,Arizona,AZ,85035
604,24,Maricopa,Arizona,AZ,85036
605,24,Maricopa,Arizona,AZ,85037
606,24,Maricopa,Arizona,AZ,85038
607,24,Maricopa,Arizona,AZ,85039
608,24,Maricopa,Arizona,AZ,85040
609,24,Maricopa,Arizona,AZ,85041
610,24,Maricopa,Arizona,AZ,85042
611,24,Maricopa,Arizona,AZ,85043
612,24,Maricopa,Arizona,AZ,85044
613,24,Maricopa,Arizona,AZ,85045
614,24,Maricopa,Arizona,AZ,85046
615,24,Maricopa,Arizona,AZ,85048
616,24,Maricopa,Arizona,AZ,85050
617,24,Maricopa,Arizona,AZ,85051
618,24,Maricopa,Arizona,AZ,85053
619,24,Maricopa,Arizona,AZ,85054
620,24,Maricopa,Arizona,AZ,85055
621,24,Maricopa,Arizona,AZ,85060
622,24,Maricopa,Arizona,AZ,85061
623,24,Maricopa,Arizona,AZ,85062
624,24,Maricopa,Arizona,AZ,85063
625,24,Maricopa,Arizona,AZ,85064
626,24,Maricopa,Arizona,AZ,85065
627,24,Maricopa,Arizona,AZ,85066
628,24,Maricopa,Arizona,AZ,85067
629,24,Maricopa,Arizona,AZ,85068
630,24,Maricopa,Arizona,AZ,85069
631,24,Maricopa,Arizona,AZ,85070
632,24,Maricopa,Arizona,AZ,85071
633,24,Maricopa,Arizona,AZ,85072
634,24,Maricopa,Arizona,AZ,85073
635,24,Maricopa,Arizona,AZ,85074
636,24,Maricopa,Arizona,AZ,85075
637,24,Maricopa,Arizona,AZ,85076
638,24,Maricopa,Arizona,AZ,85077
639,24,Maricopa,Arizona,AZ,85078
640,24,Maricopa,Arizona,AZ,85079
641,24,Maricopa,Arizona,AZ,85080
642,24,Maricopa,Arizona,AZ,85082
643,24,Maricopa,Arizona,AZ,85083
644,24,Maricopa,Arizona,AZ,85085
645,24,Maricopa,Arizona,AZ,85086
646,24,Maricopa,Arizona,AZ,85087
647,24,Maricopa,Arizona,AZ,85096
648,24,Maricopa,Arizona,AZ,85097
649,24,Maricopa,Arizona,AZ,85098
650,24,Maricopa,Arizona,AZ,85099
651,24,Maricopa,Arizona,AZ,85127
652,24,Maricopa,Arizona,AZ,85142
653,24,Maricopa,Arizona,AZ,85190
654,24,Maricopa,Arizona,AZ,85201
655,24,Maricopa,Arizona,AZ,85202
656,24,Maricopa,Arizona,AZ,85203
657,24,Maricopa,Arizona,AZ,85204
658,24,Maricopa,Arizona,AZ,85205
659,24,Maricopa,Arizona,AZ,85206
660,24,Maricopa,Arizona,AZ,85207
661,24,Maricopa,Arizona,AZ,85208
662,24,Maricopa,Arizona,AZ,85209
663,24,Maricopa,Arizona,AZ,85210
